HSN_CD,HSN_NM,TOWN_NM,VILL_NM,year,total_vote,eligible_vote,DPP,KMT
A,臺北市,北投區,建民里,2010,2337,3189,1081,648
A,臺北市,北投區,文林里,2010,2582,3577,1179,730
A,臺北市,北投區,石牌里,2010,3226,4335,1403,976
A,臺北市,北投區,福興里,2010,4003,5513,1595,1274
A,臺北市,北投區,榮光里,2010,4019,5693,1547,1246
A,臺北市,北投區,榮華里,2010,4323,6189,1625,1296
A,臺北市,北投區,裕民里,2010,4354,6068,1647,1393
A,臺北市,北投區,振華里,2010,4428,6271,1534,1457
A,臺北市,北投區,永和里,2010,4832,7147,1754,1539
A,臺北市,北投區,永欣里,2010,4147,6136,1263,1312
A,臺北市,北投區,永明里,2010,2857,3778,979,888
A,臺北市,北投區,東華里,2010,2824,3728,977,838
A,臺北市,北投區,吉利里,2010,3907,5342,1304,1324
A,臺北市,北投區,吉慶里,2010,3073,4104,1316,978
A,臺北市,北投區,尊賢里,2010,2712,3841,1230,763
A,臺北市,北投區,立賢里,2010,3200,4405,1334,888
A,臺北市,北投區,立農里,2010,5234,7030,2109,1643
A,臺北市,北投區,八仙里,2010,3142,4411,1423,791
A,臺北市,北投區,洲美里,2010,1409,1756,707,178
A,臺北市,北投區,奇岩里,2010,5603,7773,2283,1634
A,臺北市,北投區,清江里,2010,4983,7814,2246,1435
A,臺北市,北投區,中央里,2010,4901,6839,2301,1225
A,臺北市,北投區,長安里,2010,3250,4803,1329,780
A,臺北市,北投區,大同里,2010,3516,4832,1573,964
A,臺北市,北投區,溫泉里,2010,3730,5268,1643,1049
A,臺北市,北投區,林泉里,2010,1743,2725,534,517
A,臺北市,北投區,中心里,2010,3321,5031,1247,958
A,臺北市,北投區,中庸里,2010,2604,3636,1057,591
A,臺北市,北投區,開明里,2010,3701,5182,1364,1048
A,臺北市,北投區,中和里,2010,2890,4126,1068,757
A,臺北市,北投區,智仁里,2010,3517,4931,1240,1009
A,臺北市,北投區,秀山里,2010,2072,2809,727,543
A,臺北市,北投區,文化里,2010,2565,3430,583,815
A,臺北市,北投區,豐年里,2010,2675,3547,1086,645
A,臺北市,北投區,稻香里,2010,2894,4181,1040,820
A,臺北市,北投區,桃源里,2010,3291,4526,1419,973
A,臺北市,北投區,一德里,2010,3818,5429,1711,850
A,臺北市,北投區,關渡里,2010,6365,8787,2680,1723
A,臺北市,北投區,泉源里,2010,1399,2058,662,253
A,臺北市,北投區,湖山里,2010,1238,1658,514,438
A,臺北市,北投區,大屯里,2010,765,1012,477,137
A,臺北市,北投區,湖田里,2010,778,929,290,231
A,臺北市,士林區,仁勇里,2010,2432,3322,906,876
A,臺北市,士林區,義信里,2010,1938,2737,599,900
A,臺北市,士林區,福林里,2010,1830,2611,603,598
A,臺北市,士林區,福德里,2010,2664,5055,952,881
A,臺北市,士林區,福志里,2010,4536,6244,1419,1368
A,臺北市,士林區,舊佳里,2010,3567,5092,1346,1064
A,臺北市,士林區,福佳里,2010,4578,6255,1599,1318
A,臺北市,士林區,後港里,2010,4740,6553,2001,1376
A,臺北市,士林區,福中里,2010,3957,5309,1761,1080
A,臺北市,士林區,前港里,2010,2699,3615,1180,768
A,臺北市,士林區,百齡里,2010,4397,5930,2121,1169
A,臺北市,士林區,承德里,2010,3307,4580,1229,1042
A,臺北市,士林區,福華里,2010,3861,5541,1711,1039
A,臺北市,士林區,明勝里,2010,2916,4067,1263,723
A,臺北市,士林區,福順里,2010,3043,4204,1578,395
A,臺北市,士林區,富光里,2010,3475,4852,1748,468
A,臺北市,士林區,葫蘆里,2010,4605,6132,1994,632
A,臺北市,士林區,葫東里,2010,2298,3160,1207,319
A,臺北市,士林區,社子里,2010,3660,5196,1556,384
A,臺北市,士林區,社新里,2010,5134,7007,2339,602
A,臺北市,士林區,社園里,2010,4490,5910,2006,425
A,臺北市,士林區,永倫里,2010,4481,5919,1973,444
A,臺北市,士林區,福安里,2010,3115,3978,1995,170
A,臺北市,士林區,富洲里,2010,3670,4658,2102,234
A,臺北市,士林區,岩山里,2010,2114,3093,649,625
A,臺北市,士林區,名山里,2010,4293,5908,1432,1313
A,臺北市,士林區,德行里,2010,2548,3597,1022,784
A,臺北市,士林區,德華里,2010,3333,4703,1394,888
A,臺北市,士林區,聖山里,2010,2930,4009,905,897
A,臺北市,士林區,忠誠里,2010,3169,4569,754,980
