TOWN_NM,VILL_NM,DPP,KMT,total_vote,eligible_vote,HSN_NM,year
　北投區,建民里,1087,971,2082,3364,臺北市,2008
　北投區,文林里,1063,1298,2394,3677,臺北市,2008
　北投區,石牌里,1182,1440,2655,4267,臺北市,2008
　北投區,福興里,1499,2005,3561,5477,臺北市,2008
　北投區,榮光里,1299,2102,3439,5699,臺北市,2008
　北投區,榮華里,1380,2455,3886,6172,臺北市,2008
　北投區,裕民里,1455,2302,3816,5945,臺北市,2008
　北投區,振華里,1490,2545,4102,6396,臺北市,2008
　北投區,永和里,1637,2541,4232,6944,臺北市,2008
　北投區,永欣里,1138,2508,3705,5888,臺北市,2008
　北投區,永明里,804,1501,2336,3687,臺北市,2008
　北投區,東華里,813,1627,2472,3732,臺北市,2008
　北投區,吉利里,1055,2276,3383,5207,臺北市,2008
　北投區,吉慶里,1156,1413,2614,4097,臺北市,2008
　北投區,尊賢里,1070,1271,2371,3816,臺北市,2008
　北投區,立賢里,1042,1435,2502,4218,臺北市,2008
　北投區,立農里,1873,2501,4445,6999,臺北市,2008
　北投區,八仙里,1114,1312,2453,4096,臺北市,2008
　北投區,洲美里,551,322,886,1594,臺北市,2008
　北投區,奇岩里,1829,2816,4720,7751,臺北市,2008
　北投區,清江里,1905,2363,4335,7732,臺北市,2008
　北投區,中央里,1669,1803,3525,6052,臺北市,2008
　北投區,長安里,1240,1618,2898,4936,臺北市,2008
　北投區,大同里,1325,1587,2969,4962,臺北市,2008
　北投區,溫泉里,1325,1804,3161,5177,臺北市,2008
　北投區,林泉里,419,1163,1605,2771,臺北市,2008
　北投區,中心里,1106,1671,2822,5034,臺北市,2008
　北投區,中庸里,923,1170,2131,3542,臺北市,2008
　北投區,開明里,1151,2099,3278,5268,臺北市,2008
　北投區,中和里,919,1618,2575,4135,臺北市,2008
　北投區,智仁里,1024,1936,2996,4803,臺北市,2008
　北投區,秀山里,586,1143,1745,2882,臺北市,2008
　北投區,文化里,457,1714,2194,3349,臺北市,2008
　北投區,豐年里,771,1241,2032,3370,臺北市,2008
　北投區,稻香里,731,1493,2256,4009,臺北市,2008
　北投區,桃源里,1143,1521,2696,4449,臺北市,2008
　北投區,一德里,1382,1627,3054,5230,臺北市,2008
　北投區,關渡里,2006,3065,5141,8674,臺北市,2008
　北投區,泉源里,531,559,1109,1984,臺北市,2008
　北投區,湖山里,406,556,983,1699,臺北市,2008
　北投區,大屯里,322,205,538,1012,臺北市,2008
　北投區,湖田里,192,224,424,814,臺北市,2008
　士林區,天母里,1194,2122,3346,5364,臺北市,2008
　士林區,三玉里,1086,1722,2847,4628,臺北市,2008
　士林區,天福里,1146,1998,3190,5059,臺北市,2008
　士林區,天祿里,1073,1585,2708,4230,臺北市,2008
　士林區,天壽里,925,1529,2488,3954,臺北市,2008
　士林區,天山里,1185,2152,3377,5650,臺北市,2008
　士林區,天和里,1361,2449,3856,6200,臺北市,2008
　士林區,天玉里,1495,2660,4207,6860,臺北市,2008
　士林區,德行里,862,1217,2108,3410,臺北市,2008
　士林區,德華里,1291,1552,2877,4761,臺北市,2008
　士林區,忠誠里,775,2209,3033,4667,臺北市,2008
　士林區,蘭雅里,1643,2732,4443,7218,臺北市,2008
　士林區,蘭興里,1302,1946,3299,5096,臺北市,2008
　士林區,仁勇里,899,1149,2084,3415,臺北市,2008
　士林區,義信里,601,999,1637,2705,臺北市,2008
　士林區,福林里,558,899,1490,2405,臺北市,2008
　士林區,福德里,842,1302,2197,4590,臺北市,2008
　士林區,福志里,1324,2704,4109,6382,臺北市,2008
　士林區,舊佳里,1419,1824,3310,5280,臺北市,2008
　士林區,福佳里,1593,2297,3968,6220,臺北市,2008
　士林區,後港里,1795,2153,4024,6574,臺北市,2008
　士林區,福中里,1358,1364,2764,4480,臺北市,2008
　士林區,前港里,987,1145,2165,3512,臺北市,2008
　士林區,百齡里,1632,1876,3571,5868,臺北市,2008
　士林區,承德里,1026,1696,2775,4499,臺北市,2008
　士林區,福華里,1408,1864,3318,5491,臺北市,2008
　士林區,明勝里,1098,1310,2467,4058,臺北市,2008
　士林區,福順里,1324,1250,2628,4285,臺北市,2008
　士林區,富光里,1489,1408,2930,4843,臺北市,2008
　士林區,葫蘆里,1598,2207,3856,6080,臺北市,2008
　士林區,葫東里,980,847,1879,3118,臺北市,2008
　士林區,社子里,1467,1518,3030,5099,臺北市,2008
　士林區,社新里,2114,1897,4076,6866,臺北市,2008
　士林區,社園里,1954,1647,3657,5866,臺北市,2008
　士林區,永倫里,1910,1643,3614,5887,臺北市,2008
　士林區,福安里,1724,599,2342,3899,臺北市,2008
　士林區,富洲里,1816,1025,2864,4459,臺北市,2008
　士林區,岩山里,580,1354,1980,3183,臺北市,2008
　士林區,名山里,1283,2378,3749,5904,臺北市,2008
　士林區,聖山里,762,1820,2632,4108,臺北市,2008
　士林區,芝山里,1238,2318,3644,5942,臺北市,2008
　士林區,東山里,761,1990,2802,4269,臺北市,2008
　士林區,永福里,343,303,667,1196,臺北市,2008
　士林區,公館里,373,281,665,1218,臺北市,2008
　士林區,新安里,570,507,1096,1797,臺北市,2008
　士林區,陽明里,647,900,1582,2651,臺北市,2008
　士林區,菁山里,370,438,820,1411,臺北市,2008
　士林區,平等里,516,207,732,1184,臺北市,2008
　士林區,溪山里,360,347,717,1262,臺北市,2008
